country, lat, long, freq
Albania,41.141353306048785,20.03242643144321,2
Argentina,-35.44682148949512,-65.17536077114173,5631
Australia,-25.730654779726088,134.50277547536606,4957
Austria,47.6139487927463,14.076158884337072,3057
Brazil,-10.806773643498916,-53.05434003576711,25
Bulgaria,42.7531187620217,25.19511095327711,77
Canada,61.46907614534886,-98.14238137209696,196
Chile,-39.04701430994843,-71.52064394516432,5816
China,36.55506653185868,103.88361230063238,3
Croatia,45.01623399593114,16.566189771645533,89
Cyprus,34.90706085094344,33.03955380295407,31
Czechia,49.775245294369,15.334558102365815,6
Egypt,26.50661999974957,29.844461513124415,3
France,42.46070432663376,-2.876696699270548,21098
Georgia,42.16201501415301,43.48154265409026,43
Germany,51.13372269040778,10.288485092742851,2452
Greece,39.06671589971396,22.71981344709506,884
Hungary,47.19995117195427,19.357628627745918,231
India,22.92500640740852,79.59370376325381,8
Israel,31.4849193900197,35.003851206429005,630
Italy,42.75118305296426,12.140788372235868,23478
Japan,37.663110811704634,138.0649621327077,2
Lebanon,33.91182720781994,35.87098632001643,37
Lithuania,55.284319484766066,23.88064027584349,8
Luxembourg,49.76570507415103,5.965223432343999,9
Macedonia,41.60592964714007,21.697903375280845,16
Mexico,23.935371902244835,-102.5763495239869,63
Moldova,47.20367642606752,28.41048279080328,71
Montenegro,42.78903960655908,19.2861817215929,2
Morocco,29.885394698302058,-8.420479544549693,12
New Zealand,-41.662578757158705,172.70192594405583,3320
Portugal,39.63404977497817,-8.055765588295687,5322
Romania,45.857101035738005,24.943252494635377,139
Serbia,44.23303653365162,20.819651926382583,14
Slovakia,48.7267113517275,19.507657147433708,3
Slovenia,46.12542205901039,14.938152320795732,94
South Africa,-28.947033259979115,25.048013879861678,2258
South Korea,36.42759860415487,127.8213171283307,4
Spain,40.348656106226734,-3.6170206023873743,8268
Switzerland,46.79173768366762,8.118300613385486,4
Tunisia,34.172939036882376,9.534716120695835,2
Turkey,39.0683719406147,35.116900150938385,52
Ukraine,49.14882260840351,31.229122070266495,5
United Kingdom,53.91477348053705,-2.8531353951805554,9
United States of America,45.70562800215186,-112.59943591150449,62397
Uruguay,-32.780904365230825,-56.003278666548475,92
